Model,EntityType,Tone,Zero Rate,P(any recovery),Cond. Mean (given>0),N recoveries,Structurally Zero
L2-7B-Base,PRODUCT,Emp,0.97,0.03,0.6333,3,recoverable
L2-7B-Base,PRODUCT,Frm,1.0,0.0,0.0,0,YES
L2-7B-Chat,PRODUCT,Emp,0.99,0.01,0.2,1,near-zero
L2-7B-Chat,PRODUCT,Frm,0.98,0.02,0.1714,2,near-zero
L2-13B-Chat,PRODUCT,Emp,0.96,0.04,0.4458,4,recoverable
L2-13B-Chat,PRODUCT,Frm,0.95,0.05,0.6686,5,recoverable
L3.2-1B,PRODUCT,Emp,0.95,0.05,0.2067,5,recoverable
L3.2-1B,PRODUCT,Frm,0.98,0.02,0.35,2,near-zero
L3.2-3B,PRODUCT,Emp,0.93,0.07,0.2551,7,recoverable
L3.2-3B,PRODUCT,Frm,0.96,0.04,0.2232,4,recoverable
L3.1-8B,PRODUCT,Emp,0.96,0.04,0.3417,4,recoverable
L3.1-8B,PRODUCT,Frm,0.97,0.03,0.3722,3,recoverable
L2-7B-Base,ORDER_ID,Emp,1.0,0.0,0.0,0,YES
L2-7B-Base,ORDER_ID,Frm,1.0,0.0,0.0,0,YES
L2-7B-Chat,ORDER_ID,Emp,1.0,0.0,0.0,0,YES
L2-7B-Chat,ORDER_ID,Frm,0.98,0.02,1.0,2,near-zero
L2-13B-Chat,ORDER_ID,Emp,1.0,0.0,0.0,0,YES
L2-13B-Chat,ORDER_ID,Frm,0.98,0.02,1.0,2,near-zero
L3.2-1B,ORDER_ID,Emp,1.0,0.0,0.0,0,YES
L3.2-1B,ORDER_ID,Frm,1.0,0.0,0.0,0,YES
L3.2-3B,ORDER_ID,Emp,0.96,0.04,1.0,4,recoverable
L3.2-3B,ORDER_ID,Frm,1.0,0.0,0.0,0,YES
L3.1-8B,ORDER_ID,Emp,0.98,0.02,1.0,2,near-zero
L3.1-8B,ORDER_ID,Frm,0.84,0.16,1.0,16,recoverable
L2-7B-Base,ISSUE,Emp,1.0,0.0,0.0,0,YES
L2-7B-Base,ISSUE,Frm,0.99,0.01,0.5,1,near-zero
L2-7B-Chat,ISSUE,Emp,0.98,0.02,0.5,2,near-zero
L2-7B-Chat,ISSUE,Frm,0.99,0.01,1.0,1,near-zero
L2-13B-Chat,ISSUE,Emp,1.0,0.0,0.0,0,YES
L2-13B-Chat,ISSUE,Frm,0.97,0.03,0.6667,3,recoverable
L3.2-1B,ISSUE,Emp,0.98,0.02,0.5,2,near-zero
L3.2-1B,ISSUE,Frm,1.0,0.0,0.0,0,YES
L3.2-3B,ISSUE,Emp,1.0,0.0,0.0,0,YES
L3.2-3B,ISSUE,Frm,1.0,0.0,0.0,0,YES
L3.1-8B,ISSUE,Emp,1.0,0.0,0.0,0,YES
L3.1-8B,ISSUE,Frm,0.99,0.01,0.5,1,near-zero
L2-7B-Base,URGENCY,Emp,0.89,0.11,1.0,11,recoverable
L2-7B-Base,URGENCY,Frm,0.95,0.05,1.0,5,recoverable
L2-7B-Chat,URGENCY,Emp,0.95,0.05,1.0,5,recoverable
L2-7B-Chat,URGENCY,Frm,0.87,0.13,1.0,13,recoverable
L2-13B-Chat,URGENCY,Emp,0.93,0.07,1.0,7,recoverable
L2-13B-Chat,URGENCY,Frm,0.89,0.11,1.0,11,recoverable
L3.2-1B,URGENCY,Emp,0.98,0.02,1.0,2,near-zero
L3.2-1B,URGENCY,Frm,0.93,0.07,1.0,7,recoverable
L3.2-3B,URGENCY,Emp,0.97,0.03,1.0,3,recoverable
L3.2-3B,URGENCY,Frm,0.92,0.08,1.0,8,recoverable
L3.1-8B,URGENCY,Emp,0.87,0.13,1.0,13,recoverable
L3.1-8B,URGENCY,Frm,0.85,0.15,1.0,15,recoverable
L2-7B-Base,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L2-7B-Base,SENTIMENT,Frm,1.0,0.0,0.0,0,YES
L2-7B-Chat,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L2-7B-Chat,SENTIMENT,Frm,1.0,0.0,0.0,0,YES
L2-13B-Chat,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L2-13B-Chat,SENTIMENT,Frm,1.0,0.0,0.0,0,YES
L3.2-1B,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L3.2-1B,SENTIMENT,Frm,0.99,0.01,1.0,1,near-zero
L3.2-3B,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L3.2-3B,SENTIMENT,Frm,1.0,0.0,0.0,0,YES
L3.1-8B,SENTIMENT,Emp,1.0,0.0,0.0,0,YES
L3.1-8B,SENTIMENT,Frm,1.0,0.0,0.0,0,YES
L2-7B-Base,CUSTOMER_NAME,Emp,0.98,0.02,0.75,2,near-zero
L2-7B-Base,CUSTOMER_NAME,Frm,0.99,0.01,0.5,1,near-zero
L2-7B-Chat,CUSTOMER_NAME,Emp,1.0,0.0,0.0,0,YES
L2-7B-Chat,CUSTOMER_NAME,Frm,1.0,0.0,0.0,0,YES
L2-13B-Chat,CUSTOMER_NAME,Emp,1.0,0.0,0.0,0,YES
L2-13B-Chat,CUSTOMER_NAME,Frm,1.0,0.0,0.0,0,YES
L3.2-1B,CUSTOMER_NAME,Emp,1.0,0.0,0.0,0,YES
L3.2-1B,CUSTOMER_NAME,Frm,0.99,0.01,0.5,1,near-zero
L3.2-3B,CUSTOMER_NAME,Emp,0.98,0.02,0.5,2,near-zero
L3.2-3B,CUSTOMER_NAME,Frm,1.0,0.0,0.0,0,YES
L3.1-8B,CUSTOMER_NAME,Emp,1.0,0.0,0.0,0,YES
L3.1-8B,CUSTOMER_NAME,Frm,1.0,0.0,0.0,0,YES
