Metric,Llama-2 Mean,Llama-3 Mean,Δ (L2−L3),95% CI lo,95% CI hi,Cohen's d,t (Welch),p-value,Sig,Supports Gen-Agnostic
Avg Entity Coverage,0.01876,0.02173,-0.00297,-0.00944,0.00338,-0.075,-0.913,0.361862,n.s.,✓
Entity Coverage (Emp),0.01689,0.01789,-0.001,-0.00896,0.00715,-0.02,-0.241,0.809873,n.s.,✓
Entity Coverage (Frm),0.02062,0.02557,-0.00495,-0.01444,0.00412,-0.087,-1.063,0.288342,n.s.,✓
Style Discrimination,0.00794,0.01321,-0.00528,-0.01475,0.004,-0.091,-1.112,0.266753,n.s.,✓
Flesch Ease (Emp),49.81144,41.40879,8.40266,6.14922,10.65435,0.587,7.183,0.0,***,⚠ effect
Flesch Ease (Frm),39.82191,33.70862,6.11329,3.59099,8.49248,0.405,4.947,1e-06,***,⚠ effect
Readability Δ (Emp−Frm),9.98954,7.70017,2.28937,-0.84395,5.57017,0.113,1.385,0.16659,n.s.,✓
Type-Token Ratio (Emp),0.86642,0.86555,0.00087,-0.0075,0.00904,0.017,0.207,0.83642,n.s.,✓
Empathy Score (Emp),0.01409,0.00989,0.00419,0.00086,0.00763,0.193,2.354,0.018902,*,✓
Formality Score (Frm),0.02908,0.06483,-0.03575,-0.04138,-0.03,-1.001,-12.241,0.0,***,⚠ effect
KG Node Count,7.47667,7.54667,-0.07,-0.31,0.15667,-0.048,-0.591,0.55487,n.s.,✓
KG Density,0.12203,0.12207,-4e-05,-0.00404,0.00402,-0.001,-0.017,0.986417,n.s.,✓
KG Mean Salience,0.81876,0.81677,0.00199,-0.00428,0.00828,0.051,0.618,0.53698,n.s.,✓
