Model,Metric,Emp Mean,Frm Mean,Δ (E−F),Cohen's d,Effect Size,t,p (paired t),Sig
L2-7B-Base,Flesch Ease,37.4,46.26,-8.86,-0.343,small,-3.416,0.00092342,***
L2-7B-Base,Flesch-Kincaid Grade,14.95,11.67,3.28,0.513,medium,5.108,1.58e-06,***
L2-7B-Base,Gunning Fog,16.09,12.93,3.16,0.467,small,4.65,1.026e-05,***
L2-7B-Chat,Flesch Ease,57.31,40.03,17.28,1.098,large,10.929,0.0,***
L2-7B-Chat,Flesch-Kincaid Grade,10.12,12.53,-2.42,-0.744,medium,-7.407,0.0,***
L2-7B-Chat,Gunning Fog,11.21,14.14,-2.93,-0.812,large,-8.075,0.0,***
L2-13B-Chat,Flesch Ease,54.73,33.17,21.56,1.135,large,11.29,0.0,***
L2-13B-Chat,Flesch-Kincaid Grade,11.05,14.19,-3.13,-0.624,medium,-6.208,1e-08,***
L2-13B-Chat,Gunning Fog,12.45,15.94,-3.49,-0.645,medium,-6.422,0.0,***
L3.2-1B,Flesch Ease,46.67,41.34,5.33,0.319,small,3.179,0.00197571,**
L3.2-1B,Flesch-Kincaid Grade,11.72,12.56,-0.84,-0.289,small,-2.873,0.00497773,**
L3.2-1B,Gunning Fog,13.15,14.52,-1.38,-0.436,small,-4.338,3.469e-05,***
L3.2-3B,Flesch Ease,38.06,31.18,6.88,0.536,medium,5.333,6.1e-07,***
L3.2-3B,Flesch-Kincaid Grade,14.39,14.41,-0.02,-0.008,negligible,-0.081,0.93562483,n.s.
L3.2-3B,Gunning Fog,16.16,16.45,-0.29,-0.099,negligible,-0.984,0.32751183,n.s.
L3.1-8B,Flesch Ease,39.5,28.61,10.89,0.829,large,8.249,0.0,***
L3.1-8B,Flesch-Kincaid Grade,13.95,14.55,-0.6,-0.222,small,-2.208,0.02953631,*
L3.1-8B,Gunning Fog,15.6,16.33,-0.72,-0.222,small,-2.211,0.02930574,*
